Chip	Dmg	Range	Effect	Category	Tags	Tags In Brackets	Single Description	From?	License	Alias
XV-TheDevil	-	-	Next 3 times you would fail a roll, spend 2 HP and reroll all the failed dice. This can delete you.	Support	Guard, Simple	 [Guard, Simple]	Next 3 times you would fail a roll, spend 2 HP and reroll all the failed dice. This can delete you. [Guard, Simple]	Tarot		Devil, TheDevil, 15-TheDevil, 15-Devil
XVI-TheTower	-	Near	Malevolent cloud! GM picks 3 objects and up to 3 hostile targets to hit with shattering 3-dmg bolts.	Summon	Piercing, Awkward, Dangerous	 [Piercing, Awkward, Dangerous]	Malevolent cloud! GM picks 3 objects and up to 3 hostile targets to hit with shattering 3-dmg bolts. [Piercing, Awkward, Dangerous]	Tarot		Tower, TheTower, 16-TheTower, 16-Tower
XVII-TheStar	X	Near	Fire a shining beam of hope! X=HP missing, max 4. Can’t reduce the target’s HP below 1.	Shot	Awkward	 [Awkward]	Fire a shining beam of hope! X=HP missing, max 4. Can’t reduce the target’s HP below 1. [Awkward]	Tarot		Star, TheStar, 17-TheStar, 17-Star
XVIII-TheMoon	-	Near	Dream bomb! Target briefly (pick 1): can’t see allies; sees you as friendly; sees you as terrifying.	Thrown	Slow	 [Slow]	Dream bomb! Target briefly (pick 1): can’t see allies; sees you as friendly; sees you as terrifying. [Slow]	Tarot		Moon, TheMoon, 18-TheMoon, 18-Moon
XIX-TheSun	-	Near	Revealing light (pick 2): exposes invisible/disguised targets; shows everyone’s Max HP; highlights liars.	Hazard	Slow	 [Slow]	Revealing light (pick 2): exposes invisible/disguised targets; shows everyone’s Max HP; highlights liars. [Slow]	Tarot		Sun, TheSun, 19-TheSun, 19-Sun
XX-Judgement	2	Near	Holy trumpet blast removes temp. effects (e.g. Guards, stuns, roll shifts) except spent points.	Wave	Slow	 [Slow]	Holy trumpet blast removes temp. effects (e.g. Guards, stuns, roll shifts) except spent points. [Slow]	Tarot		Judgement, Judgment, 20-Judgement, XX-Judgment, 20-Judgment
XXI-TheWorld	-	Far	Can use the elements of all in range for 5 rolls. Roll Xd6 to summon/manipulate; X=Bond Points.	Support	Mega, Simple	 [Mega, Simple]	Can use the elements of all in range for 5 rolls. Roll Xd6 to summon/manipulate; X=Bond Points. [Mega, Simple]	Tarot		World, TheWorld, 21-TheWorld, 21-World
										
AntiChip	-	Near	Pick a chip category. Next time an enemy uses that category, take their chip and use it yourself.	Support	Guard, Slow	 [Guard, Slow]	Pick a chip category. Next time an enemy uses that category, take their chip and use it yourself. [Guard, Slow]	Advanced Support Pack		
AntiDamage	-	-	Next defense, swap places with a Near object & take 0 dmg. Fails vs. Accurate chips/LockOn.	Support	Guard, Slow	 [Guard, Slow]	Next defense, swap places with a Near object & take 0 dmg. Fails vs. Accurate chips/LockOn. [Guard, Slow]	Advanced Support Pack		
AntiElement	-	Near	Next time an enemy fails to spawn/manipulate their element, they spawn your element instead.	Support	Guard, Slow	 [Guard, Slow]	Next time an enemy fails to spawn/manipulate their element, they spawn your element instead. [Guard, Slow]	Advanced Support Pack		
AntiMelee	-	-	Next time you’re melee attacked, downshift parrying. On parry win, they fly a range band away.	Support	Guard, Slow	 [Guard, Slow]	Next time you’re melee attacked, downshift parrying. On parry win, they fly a range band away. [Guard, Slow]	Advanced Support Pack		
AntiNavi	-	-	Name a skill. On your next opposed roll, if an opponent uses that skill, roll +4 dice.	Support	Guard, Slow	 [Guard, Slow]	Name a skill. On your next opposed roll, if an opponent uses that skill, roll +4 dice. [Guard, Slow]	Advanced Support Pack		
AntiWarp	-	Far	Next time an enemy moves range bands with a chip/power, teleport a range band & act first.	Support	Guard, Slow	 [Guard, Slow]	Next time an enemy moves range bands with a chip/power, teleport a range band & act first. [Guard, Slow]	Advanced Support Pack		
Aqua+2	-	-	Your next 2 rolls/chips are soaking! Anything affected becomes super-slippery and ice-cold.	Support	Simple	 [Simple]	Your next 2 rolls/chips are soaking! Anything affected becomes super-slippery and ice-cold. [Simple]	Advanced Support Pack		AquaUp, Aqua+1, Aqua+, Aqua2, Aqua+3, WaterUp, Water+1,Water+, Water2, Water+3
BeatSwipe	-	Near	Next time an enemy uses a chip, roll Coding. If your hits > chip dmg, take the chip and use it.	Support	Guard, Slow	 [Guard, Slow]	Next time an enemy uses a chip, roll Coding. If your hits > chip dmg, take the chip and use it. [Guard, Slow]	Advanced Support Pack		
BreakBuster	-	-	For 3 rolls, gain the element Crumbling. Your rolled attacks ignore Guards & are Piercing.	Support	Simple	 [Simple]	For 3 rolls, gain the element Crumbling. Your rolled attacks ignore Guards & are Piercing. [Simple]	Advanced Support Pack		
BubbleWrap	-	-	Bubble shield! +1 die to defense rolls until you take damage. Spend 1 Affinity to refresh.	Support	Guard	 [Guard]	Bubble shield! +1 die to defense rolls until you take damage. Spend 1 Affinity to refresh. [Guard]	Advanced Support Pack		
BusterUp	-	-	For 3 rolls, gain the element (pick 1): Bullets; Lasers; Bombs. Use Sense to spawn/manipulate.	Support	Simple	 [Simple]	For 3 rolls, gain the element (pick 1): Bullets; Lasers; Bombs. Use Sense to spawn/manipulate. [Simple]	Advanced Support Pack		
Elec+2	-	-	Your next 2 rolls/chips are supercharged! They give off bright light and briefly stun wet targets.	Support	Simple	 [Simple]	Your next 2 rolls/chips are supercharged! They give off bright light and briefly stun wet targets. [Simple]	Advanced Support Pack		ElecUp, Elec+1, Elec+, Elec2, Elec+3
FastGauge	-	-	Can spend X Speed to add X chips from your pack to your Folder, no matter how full it is.	Support	Simple	 [Simple]	Can spend X Speed to add X chips from your pack to your Folder, no matter how full it is. [Simple]	Advanced Support Pack		
Fire+2	-	-	Your next 2 rolls/chips are incendiary! Flaming targets take -1 HP next time they fail a roll.	Support	Simple	 [Simple]	Your next 2 rolls/chips are incendiary! Flaming targets take -1 HP next time they fail a roll. [Simple]	Advanced Support Pack		FireUp, Fire+1, Fire+, Fire2, Fire+3
FreshSpout	-	Near	The next 5 times you/an ally use a water-related BattleChip, also heal 1 HP. Water spouts up.	Support	Guard, Simple	 [Guard, Simple]	The next 5 times you/an ally use a water-related BattleChip, also heal 1 HP. Water spouts up. [Guard, Simple]	Advanced Support Pack		
GrabRevenge	-	-	Next time a target takes a chip from you, take their highest-dmg chip instead. (If tied, you pick.)	Support	Guard, Slow	 [Guard, Slow]	Next time a target takes a chip from you, take their highest-dmg chip instead. (If tied, you pick.) [Guard, Slow]	Advanced Support Pack		
HazGuard	-	-	Next time you resist a hazard, downshift the roll. On 2+ hits, turn the hazard into your element.	Support	Guard, Slow	 [Guard, Slow]	Next time you resist a hazard, downshift the roll. On 2+ hits, turn the hazard into your element. [Guard, Slow]	Advanced Support Pack		
I-Frames	-	-	The next time you take damage, you’re invincible for the next 2 rolls or after a minute passes.	Support	Guard, Slow	 [Guard, Slow]	The next time you take damage, you’re invincible for the next 2 rolls or after a minute passes. [Guard, Slow]	Advanced Support Pack		IFrames, I-Frame, IFrame
MagShield	-	-	Downshift your next Stamina defense. If you take 0 dmg, drag the attacker Close & stun them.	Support	Guard, Slow	 [Guard, Slow]	Downshift your next Stamina defense. If you take 0 dmg, drag the attacker Close & stun them. [Guard, Slow]	Advanced Support Pack		
OilBody	-	-	Turn super-flammable for 5 rolls. Any that touch or melee attack you turn super-flammable too.	Support	Guard, Simple	 [Guard, Simple]	Turn super-flammable for 5 rolls. Any that touch or melee attack you turn super-flammable too. [Guard, Simple]	Advanced Support Pack		
Overclock	-	Near	Next time you succeed a Body roll, all roll-based durations in range immediately tick down by 2.	Support	Simple	 [Simple]	Next time you succeed a Body roll, all roll-based durations in range immediately tick down by 2. [Simple]	Advanced Support Pack		
Painbrush	-	-	Spend X HP to gain the element Paint for X rolls. Add X to rolls to summon it.	Support	Simple	 [Simple]	Spend X HP to gain the element Paint for X rolls. Add X to rolls to summon it. [Simple]	Advanced Support Pack		
PoisonFace	-	-	Cursed face paint! On next Charm/Bravery roll, poisons the target, upshifting their next 3 rolls.	Support	Simple, Dangerous	 [Simple, Dangerous]	Cursed face paint! On next Charm/Bravery roll, poisons the target, upshifting their next 3 rolls. [Simple, Dangerous]	Advanced Support Pack		
PoisonMask	-	-	Evil metal mask! +3 dice next defense; fails to Piercing. Until then, it emits hazardous poison.	Support	Guard, Dangerous	 [Guard, Dangerous]	Evil metal mask! +3 dice next defense; fails to Piercing. Until then, it emits hazardous poison. [Guard, Dangerous]	Advanced Support Pack		
SearchShuffle	-	Near	Spend X Sense to swap X BattleChips between your Folder and an ally’s.	Support	Simple	 [Simple]	Spend X Sense to swap X BattleChips between your Folder and an ally’s. [Simple]	Advanced Support Pack		
SideGun	-	-	A backup buster upgrade! For 3 ranged Sense attacks, you roll at least 5 dice.	Support	Simple	 [Simple]	A backup buster upgrade! For 3 ranged Sense attacks, you roll at least 5 dice. [Simple]	Advanced Support Pack		
SwapDrop	-	Near	Swap the position of 2 targets. Targets can be allies or summoned objects.	Support			Swap the position of 2 targets. Targets can be allies or summoned objects.	Advanced Support Pack		
Team1	-	-	The next time a Bonded ally is hurt, your next roll gets +X dice. X = your Bond Level with them.	Support	Guard, Simple	 [Guard, Simple]	The next time a Bonded ally is hurt, your next roll gets +X dice. X = your Bond Level with them. [Guard, Simple]	Advanced Support Pack		TeamOne
Team2	-	-	The next time you take damage, heal an ally equal to the damage you took.	Support	Guard, Simple	 [Guard, Simple]	The next time you take damage, heal an ally equal to the damage you took. [Guard, Simple]	Advanced Support Pack		TeamTwo
Wood+2	-	-	Your next 2 rolls/chips each sprout a tree! They are (pick 1): tall; vine-covered; easy to fell.	Support	Simple	 [Simple]	Your next 2 rolls/chips each sprout a tree! They are (pick 1): tall; vine-covered; easy to fell. [Simple]	Advanced Support Pack		WoodUp, Wood+1, Wood+, Wood2, Wood+3
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
AtEveryone	-	-	Must spend 1 Coding. Send a message of your choice to everyone connected to the server.	Summon	Awkward, Slow	 [Awkward, Slow]	Must spend 1 Coding. Send a message of your choice to everyone connected to the server. [Awkward, Slow]	Mudslurp		
Autoplay	-	Close	Put a shiny music note on a surface. On touch, a loud music video deafens & blinds all Close.	Hazard			Put a shiny music note on a surface. On touch, a loud music video deafens & blinds all Close.	Mudslurp		
AwardCeremony	-	Near	On your next opposed roll, the loser has a huge 2-dmg silver trophy fall from the sky atop them.	Summon	Guard, Simple	 [Guard, Simple]	On your next opposed roll, the loser has a huge 2-dmg silver trophy fall from the sky atop them. [Guard, Simple]	Mudslurp		
BookClub	-	Near	All allies get a book about their element! Books can downshift 1 Info roll if it’s relevant.	Summon			All allies get a book about their element! Books can downshift 1 Info roll if it’s relevant.	Mudslurp		
DebateClub	-	-	Can parry a social Charm/Bravery roll with your own. Loser upshifts X Mind rolls; X = victor’s hits.	Support	Guard, Simple	 [Guard, Simple]	Can parry a social Charm/Bravery roll with your own. Loser upshifts X Mind rolls; X = victor’s hits. [Guard, Simple]	Mudslurp		
DialogueBox	-	-	Popup blocks 2 dmg next defense! Can instead let you make 3 Charm rolls with Info instead.	Support	Guard	 [Guard]	Popup blocks 2 dmg next defense! Can instead let you make 3 Charm rolls with Info instead. [Guard]	Mudslurp		
DirectMessage	2	Near	Rapid envelope attack! Jams the target’s PET for 1 roll with a message of your choice.	Thrown	Accurate, Awkward	 [Accurate, Awkward]	Rapid envelope attack! Jams the target’s PET for 1 roll with a message of your choice. [Accurate, Awkward]	Mudslurp		DM
DoNotDisturb	3	Close	Ban hammer slammer! Spend 1 Bravery to mute the target & upshift their Charm rolls for 4 rolls.	Impact	Awkward, Slow	 [Awkward, Slow]	Ban hammer slammer! Spend 1 Bravery to mute the target & upshift their Charm rolls for 4 rolls. [Awkward, Slow]	Mudslurp		DND
FlameWar	1	Near	Spit hot fire! Can spend 1 Charm/Bravery to make targets roll Bravery to not focus on you.	Wave	Accurate, Dangerous	 [Accurate, Dangerous]	Spit hot fire! Can spend 1 Charm/Bravery to make targets roll Bravery to not focus on you. [Accurate, Dangerous]	Mudslurp		
GamblingNight	2	Close	Huge poker chip! If you parry, winner takes 1500z. Loser takes +1 dmg if they can’t pay up.	Impact			Huge poker chip! If you parry, winner takes 1500z. Loser takes +1 dmg if they can’t pay up.	Mudslurp		
KineticTypography	-	-	Turn into text! You’re 2D and can only move on surfaces. Expires after a minute or taking dmg.	Support	Guard, Awkward	 [Guard, Awkward]	Turn into text! You’re 2D and can only move on surfaces. Expires after a minute or taking dmg. [Guard, Awkward]	Mudslurp		
LiveSupport	-	-	IM window! -2 dmg next defense. While up, you can text chat 3 NPCs. Disabled by PET jamming.	Support	Guard	 [Guard]	IM window! -2 dmg next defense. While up, you can text chat 3 NPCs. Disabled by PET jamming. [Guard]	Mudslurp		
MovieNight	-	Near	Reel-to-reel lightshow! Targets rewind their past few seconds of movement, even defying physics.	Wave	Awkward	 [Awkward]	Reel-to-reel lightshow! Targets rewind their past few seconds of movement, even defying physics. [Awkward]	Mudslurp		
Ping	-	Far	A loud beep comes from the target! Ignores Guards. On hit, this chip refreshes.	Shot	Accurate	 [Accurate]	A loud beep comes from the target! Ignores Guards. On hit, this chip refreshes. [Accurate]	Mudslurp		
ScreenShot	3	Near	Camera beam! If this deals 3 dmg, send a photo of the target being hit to an email of your choice.	Shot	Slow	 [Slow]	Camera beam! If this deals 3 dmg, send a photo of the target being hit to an email of your choice. [Slow]	Mudslurp		SS
										
EnviroSeed	-	Near	Throws a huge seed that spreads (pick 1: dirt; grass; sand; snow) all around where it lands.	Hazard			Throws a huge seed that spreads (pick 1: dirt; grass; sand; snow) all around where it lands.	Core		
FullTilt	-	Near	Pick an object: it tilts to a direction (you pick) for a minute. Heavy objects tilt very gradually.	Hazard	Awkward, Dangerous	 [Awkward, Dangerous]	Pick an object: it tilts to a direction (you pick) for a minute. Heavy objects tilt very gradually. [Awkward, Dangerous]	Core		
GravSeed	-	Near	A zero-gravity bubble encompasses everything Close to the target. Expires after a minute.	Hazard	Dangerous	 [Dangerous]	A zero-gravity bubble encompasses everything Close to the target. Expires after a minute. [Dangerous]	Core		
SeedStage	-	-	Your next Hazard chip with “Seed” in its name instead slowly spreads to Near from you.	Support	Simple	 [Simple]	Your next Hazard chip with “Seed” in its name instead slowly spreads to Near from you. [Simple]	Core		
Shake	2	Close	Huge slam! If the target is grounded, shakes the whole area, destablilizing everything Near.	Impact	Awkward, Dangerous	 [Awkward, Dangerous]	Huge slam! If the target is grounded, shakes the whole area, destablilizing everything Near. [Awkward, Dangerous]	Core		
GlassSeed	-	Near	All surfaces and objects Close to the target turn to glass, becoming transparent and brittle.	Hazard	Slow	 [Slow]	All surfaces and objects Close to the target turn to glass, becoming transparent and brittle. [Slow]	Core		
IcicleSpears	2	Near	Anyone touching a frozen surface is hit by massive icicle spikes erupting from the ice.	Hazard	Piercing, Dangerous	 [Piercing, Dangerous]	Anyone touching a frozen surface is hit by massive icicle spikes erupting from the ice. [Piercing, Dangerous]	Core		
RiseUp	-	Near	Next time you damage a grounded target, the floor below them launches a range band up.	Hazard	Guard, Dangerous	 [Guard, Dangerous]	Next time you damage a grounded target, the floor below them launches a range band up. [Guard, Dangerous]	Core		
SludgeSeed	-	Near	Toss a seed that spreads black sludge! The sludge is smelly, viscous, and flammable.	Hazard	Awkward, Dangerous	 [Awkward, Dangerous]	Toss a seed that spreads black sludge! The sludge is smelly, viscous, and flammable. [Awkward, Dangerous]	Core		
StaticSeed	-	Near	A big seed creates a hazy cloud of static that jams PET signals (e.g. sending chips).	Hazard	Slow	 [Slow]	A big seed creates a hazy cloud of static that jams PET signals (e.g. sending chips). [Slow]	Core		
WarpBomb	2	Near	A glowing energy orb! Spend 1 Coding to appear where it detonates. (Doesn’t hurt you.)	Thrown			A glowing energy orb! Spend 1 Coding to appear where it detonates. (Doesn’t hurt you.)	Core		
										
BlastRocket	2	Near	Quaking rocket! If the target’s Close, spend 1 Stamina to also fly a range band away.	Shot	Piercing, Dangerous	 [Piercing, Dangerous]	Quaking rocket! If the target’s Close, spend 1 Stamina to also fly a range band away. [Piercing, Dangerous]	Summer Camp		
BlinkSlash	-	Close	Cleanly bisect a small or soft object. If used on a living target, destroys their Guard.	Blade	Simple, Piercing	 [Simple, Piercing]	Cleanly bisect a small or soft object. If used on a living target, destroys their Guard. [Simple, Piercing]	Summer Camp		
BullRush	2	Near	Ram into Close range! If your Body > target’s Body, they fly a range band away.	Rush	Piercing, Dangerous	 [Piercing, Dangerous]	Ram into Close range! If your Body > target’s Body, they fly a range band away. [Piercing, Dangerous]	Summer Camp		
Camouflage	-	-	Next time someone covers you in their element, you can use their element for 2 rolls.	Support	Guard	 [Guard]	Next time someone covers you in their element, you can use their element for 2 rolls. [Guard]	Summer Camp		
ColorBall	2	Near	Paintbomb bursts into color! Describe how the targets (and surroundings) are recolored.	Wave	Awkward	 [Awkward]	Paintbomb bursts into color! Describe how the targets (and surroundings) are recolored. [Awkward]	Summer Camp		
CutContent	2	Close	A blade made from Navi data. You can spend 2 HP to instantly refresh this chip.	Blade			A blade made from Navi data.You can spend 2 HP to instantly refresh this chip.	Summer Camp		
DimensionalSlice	3	Near	Must spend 1 Coding. If the target is Near, cleave space to warp them Close to you.	Blade	Piercing, Dangerous, Slow	 [Piercing, Dangerous, Slow]	Must spend 1 Coding. If the target is Near, cleave space to warp them Close to you. [Piercing, Dangerous, Slow]	Summer Camp		DimensionSlice, DimensonalSlice
Discord	1	Near	All Navis hit have a harsh noise blare from their PET, audible from a distance.	Wave	Piercing	 [Piercing]	All Navis hit have a harsh noise blare from their PET, audible from a distance. [Piercing]	Summer Camp		
DoubleJump	1	Near	Hop Close and kick the target! You can then leap a range band in any direction.	Rush	Accurate	 [Accurate]	Hop Close and kick the target! You can then leap a range band in any direction. [Accurate]	Summer Camp		
LightEdge	3	Close	A neon cybernetic blade! While this chip is unused in your Folder, your body loudly buzzes.	Blade	Piercing	 [Piercing]	A neon cybernetic blade! While this chip is unused in your Folder, your body loudly buzzes. [Piercing]	Summer Camp		
Lookout	-	Near	Remote camera! Sticks to stuff. Can see through it until you jack out or go Far from it.	Thrown			Remote camera! Sticks to stuff. Can see through it until you jack out or go Far from it.	Summer Camp		
Magnifryer	2	Near	Giant magnifier fires a sunbeam! Can instead downshift an Info roll on a Close target.	Shot			Giant magnifier fires a sunbeam! Can instead downshift an Info roll on a Close target.	Summer Camp		
Masquerade	-	Near	After a flashy pose, you and allies gain elegant outfits that conceal your identities.	Support	Awkward, Slow	 [Awkward, Slow]	After a flashy pose, you and allies gain elegant outfits that conceal your identities. [Awkward, Slow]	Summer Camp		
MoonBlade	2	Close	If used right after moving range bands, you can spin-slash to hit everything Close!	Blade			If used right after moving range bands, you can spin-slash to hit everything Close!	Summer Camp		
Nailgun	3	Near	Slow-moving nail volley! Downshift defending with Speed. Sticks targets to Close surfaces.	Shot	Slow	 [Slow]	Slow-moving nail volley! Downshift defending with Speed. Sticks targets to Close surfaces. [Slow]	Summer Camp		
ProtoStrike	-	-	Next time you successfully defend, warp Close behind the attacker and slash for 3 damage.	Blade	Guard, Slow	 [Guard, Slow]	Next time you successfully defend, warp Close behind the attacker and slash for 3 damage. [Guard, Slow]	Summer Camp		
RainBow	3	Near	Magical arrow! Before firing, you dramatically draw in all the colors. Briefly blinds on hit.	Shot	Piercing, Awkward, Slow	 [Piercing, Awkward, Slow]	Magical arrow! Before firing, you dramatically draw in all the colors. Briefly blinds on hit. [Piercing, Awkward, Slow]	Summer Camp		
RemotePlug	2	Near	Electrified plug! Spend 1 Sense to see through it and guide it - you can turn it in midair.	Shot	Accurate, Awkward, Slow	 [Accurate, Awkward, Slow]	Electrified plug! Spend 1 Sense to see through it and guide it - you can turn it in midair. [Accurate, Awkward, Slow]	Summer Camp		
RollArrow	2	Near	Spend 1 Charm to knock the alphabetically first Support chip from target’s Folder.	Shot	Piercing, Slow	 [Piercing, Slow]	Spend 1 Charm to knock the alphabetically first Support chip from target’s Folder. [Piercing, Slow]	Summer Camp		
SeismicBlast	1	Near	Targets must be grounded. A ground burst launches targets a range band into the air.	Wave	Piercing	 [Piercing]	Targets must be grounded. A ground burst launches targets a range band into the air. [Piercing]	Summer Camp		
ShadowFreeze	-	Near	Briefly freeze targets! Can spend 1 Coding to make this a Shot that ignores walls.	Wave	Piercing, Awkward, Dangerous	 [Piercing, Awkward, Dangerous]	Briefly freeze targets! Can spend 1 Coding to make this a Shot that ignores walls. [Piercing, Awkward, Dangerous]	Summer Camp		
ShieldBash	1	Close	Slam your opponent with a big shield! If you have a Guard active, deal +2 dmg.	Impact	Piercing, Awkward	 [Piercing, Awkward]	Slam your opponent with a big shield! If you have a Guard active, deal +2 dmg. [Piercing, Awkward]	Summer Camp		
StarArrow	2	Near	Fire a shining, cosmic arrow! You can grab it to fly behind it, but that makes it Slow.	Shot			Fire a shining, cosmic arrow! You can grab it to fly behind it, but that makes it Slow.	Summer Camp		
StatiCannon	3	Near	Power-diverting cannon! After firing, you’re disconnected from your PET for 2 rolls.	Shot	Piercing	 [Piercing]	Power-diverting cannon! After firing, you’re disconnected from your PET for 2 rolls. [Piercing]	Summer Camp		StaticCannon
Underhand	2	Near	Hands rise to thrash grounded targets! Spend 1 Strength to briefly hold targets still.	Wave	Slow	 [Slow]	Hands rise to thrash grounded targets! Spend 1 Strength to briefly hold targets still. [Slow]	Summer Camp		
Uplink	1	Near	Wild cables plug in! You can make a Coding roll on the target as if you were Close.	Thrown	Accurate, Awkward	 [Accurate, Awkward]	Wild cables plug in! You can make a Coding roll on the target as if you were Close. [Accurate, Awkward]	Summer Camp		
WirelessMouse	-	Close	Tiny scout patrols Near where it’s spawned. If it finds danger, it squeaks and runs to you.	Summon			Tiny scout patrols Near where it’s spawned. If it finds danger, it squeaks and runs to you.	Summer Camp		
										
9Lives	-	-	Next time you would be deleted, you reappear somewhere else on the internet at full HP.	Support	Dark, Guard, Simple	 [Dark, Guard, Simple]	Next time you would be deleted, you reappear somewhere else on the internet at full HP. [Dark, Guard, Simple]	Neko Virus		NineLives
MoonDay	-	-	A crescent moon hangs in the sky. All bonded to the Neko Virus roll double dice for Soul rolls.	Hazard	Dark, Slow	 [Dark, Slow]	A crescent moon hangs in the sky. All bonded to the Neko Virus roll double dice for Soul rolls. [Dark, Slow]	Neko Virus		
CatTower	-	-	A huge statue to the Neko Virus emerges. It gradually makes the server more catlike.	Summon	Dark, Awkward, Slow	 [Dark, Awkward, Slow]	A huge statue to the Neko Virus emerges. It gradually makes the server more catlike. [Dark, Awkward, Slow]	Neko Virus		
SpinAYarn	3	Near	A huge, evil yarn ball. Anything hit is tied into the yarn, sent rolling off into infinity.	Thrown	Dark, Dangerous	 [Dark, Dangerous]	A huge, evil yarn ball. Anything hit is tied into the yarn, sent rolling off into infinity. [Dark, Dangerous]	Neko Virus		
OutOfTheBag	-	-	Appear at a location of the Daemon’s choice, potentially on a completely different server.	Rush	Dark, Slow	 [Dark, Slow]	Appear at a location of the Daemon’s choice, potentially on a completely different server. [Dark, Slow]	Neko Virus		
Bap	-	Close	Knock the target a range band away. If this breaks something valuable, heal to Max HP.	Impact	Dark	 [Dark]	Knock the target a range band away. If this breaks something valuable, heal to Max HP. [Dark]	Neko Virus		
ClawEnforcement	5	Close	Instantly shred the next thing that touches your belly, accidentally or intentionally.	Blade	Dark, Guard, Piercing	 [Dark, Guard, Piercing]	Instantly shred the next thing that touches your belly, accidentally or intentionally. [Dark, Guard, Piercing]	Neko Virus		
										
ExplodingDice	-	-	Next roll, for each 6, roll a bonus die. Applies to bonus dice. If you fail, explode for -3 HP.	Support	Simple, Dangerous	 [Simple, Dangerous]	Next roll, for each 6, roll a bonus die. Applies to bonus dice. If you fail, explode for -3 HP. [Simple, Dangerous]	Cast The Dice		
Glitterbomb	-	Near	Covers everything in a cloud of glitter. Traces will always remain on anything it hits.	Wave	Dangerous	 [Dangerous]	Covers everything in a cloud of glitter. Traces will always remain on anything it hits. [Dangerous]	Cast The Dice		
Glowstick	-	Close	Luminous scepter! Anything you bop with it glows in the dark. The harder, the brighter.	Summon			Luminous scepter! Anything you bop with it glows in the dark. The harder, the brighter.	Cast The Dice		
HoloHost	-	Close	Adaptive hologram! When someone Near tells a story, it illustrates their words and adds subtitles.	Summon	Simple	 [Simple]	Adaptive hologram! When someone Near tells a story, it illustrates their words and adds subtitles. [Simple]	Cast The Dice		
JustDesserts	-	Far	Next time someone says something mean about you, a pie appears and hits their face.	Summon	Guard, Dangerous	 [Guard, Dangerous]	Next time someone says something mean about you, a pie appears and hits their face. [Guard, Dangerous]	Cast The Dice		
MagicSaw	-	Close	Harmlessly bisect an object/ally! Parts rejoin when you say “presto” or a minute passes.	Blade	Slow	 [Slow]	Harmlessly bisect an object/ally! Parts rejoin when you say “presto” or a minute passes. [Slow]	Cast The Dice		
PrankZapper	-	Close	Next thing you touch vibrates loudly for a minute. (If it’s a Navi, it also affects their PET.)	Impact	Guard, Simple	 [Guard, Simple]	Next thing you touch vibrates loudly for a minute. (If it’s a Navi, it also affects their PET.) [Guard, Simple]	Cast The Dice		
PartyPopper	-	-	Next time you win an opposed roll, fly a range band up and toss a lot of confetti. Yay!	Rush	Guard, Simple	 [Guard, Simple]	Next time you win an opposed roll, fly a range band up and toss a lot of confetti. Yay! [Guard, Simple]	Cast The Dice		
Randomancy	-	-	Roll a d6; for 3 rolls, your element is now: 1-Fire, 2-Seas, 3-Dirt, 4-Wood, 5-Wind, 6-Metal.	Support	Simple	 [Simple]	Roll a d6; for 3 rolls, your element is now: 1-Fire, 2-Seas, 3-Dirt, 4-Wood, 5-Wind, 6-Metal. [Simple]	Cast The Dice		
